order_id,product_id,quantity,order_date,status
2026011300000,4,81,2026-01-13,DELIVERED
2026011300001,3,98,2026-01-13,CONFIRMED
2026011300002,5,25,2026-01-13,DELIVERED
2026011300003,2,59,2026-01-13,DELIVERED
2026011300004,4,71,2026-01-13,SHIPPED
2026011300005,4,3,2026-01-13,CONFIRMED
2026011300006,3,21,2026-01-13,PENDING
2026011300007,5,81,2026-01-13,DELIVERED
2026011300008,4,98,2026-01-13,SHIPPED
2026011300009,4,55,2026-01-13,SHIPPED
2026011300010,2,32,2026-01-13,PENDING
2026011300011,3,27,2026-01-13,SHIPPED
2026011300012,5,98,2026-01-13,CONFIRMED
2026011300013,3,79,2026-01-13,PENDING
2026011300014,4,96,2026-01-13,SHIPPED
2026011300015,5,9,2026-01-13,PENDING
2026011300016,4,100,2026-01-13,SHIPPED
2026011300017,3,24,2026-01-13,SHIPPED
2026011300018,3,61,2026-01-13,PENDING
2026011300019,3,6,2026-01-13,DELIVERED
2026011300020,2,84,2026-01-13,PENDING
2026011300021,2,95,2026-01-13,PENDING
2026011300022,3,5,2026-01-13,DELIVERED
2026011300023,3,33,2026-01-13,CONFIRMED
2026011300024,2,78,2026-01-13,PENDING
2026011300025,5,22,2026-01-13,DELIVERED
2026011300026,3,36,2026-01-13,PENDING
2026011300027,3,1,2026-01-13,CONFIRMED
2026011300028,2,71,2026-01-13,CONFIRMED
2026011300029,5,27,2026-01-13,CONFIRMED
2026011300030,5,69,2026-01-13,PENDING
2026011300031,1,84,2026-01-13,DELIVERED
2026011300032,1,4,2026-01-13,SHIPPED
2026011300033,5,56,2026-01-13,CONFIRMED
2026011300034,3,56,2026-01-13,DELIVERED
2026011300035,5,99,2026-01-13,PENDING
2026011300036,1,37,2026-01-13,DELIVERED
2026011300037,2,47,2026-01-13,CONFIRMED
2026011300038,1,78,2026-01-13,PENDING
2026011300039,4,90,2026-01-13,CONFIRMED
2026011300040,2,70,2026-01-13,SHIPPED
2026011300041,4,93,2026-01-13,SHIPPED
2026011300042,4,64,2026-01-13,CONFIRMED
2026011300043,2,34,2026-01-13,SHIPPED
2026011300044,5,100,2026-01-13,DELIVERED
2026011300045,2,43,2026-01-13,PENDING
2026011300046,2,57,2026-01-13,DELIVERED
2026011300047,2,29,2026-01-13,DELIVERED
2026011300048,3,94,2026-01-13,PENDING
2026011300049,4,96,2026-01-13,SHIPPED
2026011300050,4,49,2026-01-13,DELIVERED
2026011300051,3,1,2026-01-13,PENDING
2026011300052,2,20,2026-01-13,DELIVERED
2026011300053,1,85,2026-01-13,PENDING
2026011300054,3,74,2026-01-13,CONFIRMED
2026011300055,4,90,2026-01-13,DELIVERED
2026011300056,2,20,2026-01-13,CONFIRMED
2026011300057,2,14,2026-01-13,DELIVERED
2026011300058,3,16,2026-01-13,DELIVERED
2026011300059,1,100,2026-01-13,PENDING
2026011300060,4,58,2026-01-13,CONFIRMED
2026011300061,2,81,2026-01-13,PENDING
2026011300062,3,12,2026-01-13,CONFIRMED
2026011300063,2,89,2026-01-13,SHIPPED
2026011300064,4,55,2026-01-13,CONFIRMED
2026011300065,3,25,2026-01-13,CONFIRMED
2026011300066,1,18,2026-01-13,PENDING
2026011300067,5,5,2026-01-13,SHIPPED
2026011300068,2,85,2026-01-13,DELIVERED
2026011300069,4,3,2026-01-13,CONFIRMED
2026011300070,3,50,2026-01-13,DELIVERED
2026011300071,2,80,2026-01-13,SHIPPED
2026011300072,5,85,2026-01-13,CONFIRMED
2026011300073,2,2,2026-01-13,SHIPPED
2026011300074,4,31,2026-01-13,CONFIRMED
2026011300075,1,68,2026-01-13,DELIVERED
2026011300076,4,76,2026-01-13,DELIVERED
2026011300077,1,9,2026-01-13,DELIVERED
2026011300078,2,37,2026-01-13,SHIPPED
2026011300079,2,49,2026-01-13,DELIVERED
2026011300080,1,79,2026-01-13,PENDING
2026011300081,3,8,2026-01-13,DELIVERED
2026011300082,5,95,2026-01-13,SHIPPED
2026011300083,1,5,2026-01-13,SHIPPED
2026011300084,4,60,2026-01-13,SHIPPED
2026011300085,2,79,2026-01-13,PENDING
2026011300086,2,77,2026-01-13,PENDING
2026011300087,3,40,2026-01-13,PENDING
2026011300088,3,6,2026-01-13,SHIPPED
2026011300089,4,26,2026-01-13,PENDING
2026011300090,4,72,2026-01-13,SHIPPED
2026011300091,2,84,2026-01-13,SHIPPED
2026011300092,4,90,2026-01-13,SHIPPED
2026011300093,1,11,2026-01-13,CONFIRMED
2026011300094,3,44,2026-01-13,CONFIRMED
2026011300095,5,62,2026-01-13,PENDING
2026011300096,1,82,2026-01-13,CONFIRMED
2026011300097,3,99,2026-01-13,SHIPPED
2026011300098,4,50,2026-01-13,PENDING
2026011300099,5,36,2026-01-13,PENDING
2026011300100,1,77,2026-01-13,PENDING
2026011300101,5,29,2026-01-13,SHIPPED
2026011300102,5,85,2026-01-13,DELIVERED
2026011300103,4,94,2026-01-13,PENDING
2026011300104,5,85,2026-01-13,DELIVERED
2026011300105,2,19,2026-01-13,DELIVERED
2026011300106,1,49,2026-01-13,CONFIRMED
2026011300107,1,64,2026-01-13,DELIVERED
2026011300108,2,6,2026-01-13,PENDING
2026011300109,5,55,2026-01-13,CONFIRMED
2026011300110,1,33,2026-01-13,DELIVERED
2026011300111,3,8,2026-01-13,PENDING
2026011300112,1,24,2026-01-13,CONFIRMED
2026011300113,3,49,2026-01-13,CONFIRMED
2026011300114,3,81,2026-01-13,DELIVERED
2026011300115,3,89,2026-01-13,PENDING
2026011300116,2,32,2026-01-13,CONFIRMED
2026011300117,1,64,2026-01-13,PENDING
2026011300118,1,30,2026-01-13,PENDING
2026011300119,4,47,2026-01-13,PENDING
2026011300120,1,30,2026-01-13,PENDING
2026011300121,3,73,2026-01-13,CONFIRMED
2026011300122,5,61,2026-01-13,PENDING
2026011300123,1,37,2026-01-13,CONFIRMED
2026011300124,1,56,2026-01-13,SHIPPED
2026011300125,5,52,2026-01-13,PENDING
2026011300126,5,74,2026-01-13,SHIPPED
2026011300127,3,70,2026-01-13,CONFIRMED
2026011300128,1,79,2026-01-13,CONFIRMED
2026011300129,5,27,2026-01-13,SHIPPED
2026011300130,4,96,2026-01-13,CONFIRMED
2026011300131,3,10,2026-01-13,SHIPPED
2026011300132,3,95,2026-01-13,PENDING
2026011300133,3,8,2026-01-13,SHIPPED
2026011300134,2,78,2026-01-13,DELIVERED
2026011300135,2,18,2026-01-13,SHIPPED
2026011300136,2,26,2026-01-13,CONFIRMED
2026011300137,2,48,2026-01-13,DELIVERED
